id,survey_year,job_title,job_category,experience_level,education_level,country,continent,currency,company_size,industry,employment_type,work_setting,base_salary_usd,annual_bonus_usd,stock_grant_usd,total_compensation_usd,job_satisfaction,years_at_company,primary_skills,ai_adoption_level,gender
15,2024,Cloud Architect,Software Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),Automotive,Full-time,Remote,289600,25400,102000,417000,2.9,0,Tableau; Kafka,Partial,Female
16,2020,AI Product Manager,Management,Lead (11-15 yrs),Master's,Germany,Europe,EUR,Medium (201-1000),Technology,Full-time,On-site,270600,15100,82600,368300,2.7,2,Hadoop; Java; Tableau,Experimenting,Male
17,2023,DevOps Engineer,Software Engineering,Senior (6-10 yrs),Master's,India,Asia,INR,Medium (201-1000),Technology,Full-time,Remote,54000,7600,5000,66600,4.1,2,Docker; PyTorch; LangChain; SQL,None,Female
18,2023,Data Engineer,Data Engineering,Mid (3-5 yrs),PhD,United States,North America,USD,Small (51-200),Education & Research,Full-time,Hybrid,150000,7300,34900,192200,4.4,1,Power BI; Hugging Face; Excel; Azure,None,Female
19,2022,Robotics Engineer,Machine Learning,Lead (11-15 yrs),Master's,United States,North America,USD,Small (51-200),Media & Entertainment,Full-time,Remote,242400,21300,38800,302500,4.4,0,JavaScript; dbt; Excel; Rust,Partial,Male
20,2025,Machine Learning Engineer,Machine Learning,Mid (3-5 yrs),Master's,United States,North America,USD,Small (51-200),Technology,Full-time,Hybrid,210100,22900,0,233000,3.2,0,GCP; Python; Java; SQL; Airflow,AI-First,Male
21,2024,AI Product Manager,Management,Mid (3-5 yrs),PhD,India,Asia,INR,Startup (1-50),Finance & Banking,Full-time,On-site,50000,1600,5300,56900,3.5,4,dbt; Java; Spark,Significant,Female
22,2022,Prompt Engineer,Machine Learning,Lead (11-15 yrs),Master's,France,Europe,EUR,Small (51-200),Technology,Full-time,Remote,182600,28300,66400,277300,4.0,0,Hugging Face; Kubernetes; dbt; Kafka,Significant,Male
23,2024,Data Engineer,Data Engineering,Entry (0-2 yrs),PhD,United Kingdom,Europe,GBP,Medium (201-1000),Technology,Contract,Remote,119300,4200,0,123500,4.5,2,Python; dbt; JavaScript,Partial,Male
24,2020,Analytics Engineer,Data Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Medium (201-1000),Insurance,Full-time,On-site,184000,18400,0,202400,3.3,1,Tableau; Rust; R,Experimenting,Male
25,2024,Full Stack Developer,Software Engineering,Executive (16+ yrs),Bachelor's,Germany,Europe,EUR,Startup (1-50),Media & Entertainment,Full-time,Remote,158000,14000,26600,198600,3.8,1,Spark; Kubernetes; SQL,AI-First,Non-binary
26,2023,Robotics Engineer,Machine Learning,Senior (6-10 yrs),Master's,Japan,Asia,JPY,Medium (201-1000),Finance & Banking,Full-time,Hybrid,175900,11000,68600,255500,4.5,8,dbt; Hadoop; Kafka; C++; Power BI,Partial,Male
27,2024,Software Engineer,Software Engineering,Mid (3-5 yrs),Master's,United States,North America,USD,Large (1001-10000),Consulting,Full-time,Remote,207400,0,0,207400,3.1,0,dbt; SQL; TensorFlow,Partial,Female
28,2022,Analytics Engineer,Data Engineering,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Enterprise (10000+),Technology,Full-time,On-site,161700,8500,0,170200,4.8,0,Kubernetes; Excel; Tableau; JavaScript; Airflow,Significant,Male
29,2021,Generative AI Engineer,Machine Learning,Lead (11-15 yrs),Master's,Australia,Oceania,AUD,Enterprise (10000+),Media & Entertainment,Contract,Remote,326700,29300,0,356000,3.5,1,R; GCP; Go; Java; Docker,Experimenting,Male
30,2023,Engineering Manager,Management,Executive (16+ yrs),Master's,India,Asia,INR,Enterprise (10000+),E-Commerce & Retail,Contract,Hybrid,123100,17900,0,141000,4.1,0,Kafka; AWS; Docker,Experimenting,Male
31,2023,Analytics Engineer,Data Engineering,Mid (3-5 yrs),Master's,Netherlands,Europe,EUR,Small (51-200),Finance & Banking,Full-time,Remote,113700,12000,0,125700,4.5,1,Scala; Go,Partial,Male
32,2021,DevOps Engineer,Software Engineering,Mid (3-5 yrs),Master's,Germany,Europe,EUR,Medium (201-1000),Technology,Full-time,On-site,142500,1500,0,144000,3.0,0,AWS; Python; Spark; TensorFlow; LangChain,Partial,Female
33,2024,Engineering Manager,Management,Mid (3-5 yrs),Bachelor's,France,Europe,EUR,Large (1001-10000),Technology,Full-time,Hybrid,218000,18500,12200,248700,2.6,2,Kafka; C++; OpenCV; Docker; Scala,AI-First,Male
34,2025,AI Product Manager,Management,Entry (0-2 yrs),Master's,India,Asia,INR,Large (1001-10000),Technology,Full-time,Remote,38600,2800,7200,48600,2.9,2,PyTorch; LangChain; Hadoop; Rust,Significant,Female
35,2021,Data Analyst,Data Science,Senior (6-10 yrs),Bachelor's,Germany,Europe,EUR,Startup (1-50),Government & Defense,Part-time,Remote,34500,2200,3100,39800,4.0,4,Go; JavaScript,Significant,Female
36,2021,Cybersecurity Analyst,Cybersecurity,Senior (6-10 yrs),Master's,India,Asia,INR,Small (51-200),Consulting,Full-time,Remote,33200,5100,0,38300,5.0,0,LangChain; OpenCV,Experimenting,Male
37,2023,Software Engineer,Software Engineering,Lead (11-15 yrs),Bachelor's,India,Asia,INR,Medium (201-1000),Education & Research,Contract,Hybrid,48800,6400,8200,63400,4.1,5,dbt; Power BI; Hugging Face; Java,Significant,Male
38,2020,Engineering Manager,Management,Mid (3-5 yrs),PhD,Germany,Europe,EUR,Medium (201-1000),Finance & Banking,Full-time,On-site,170300,10200,0,180500,3.5,2,Airflow; Scala; Kubernetes; C++; Kafka,Partial,Female
39,2023,Engineering Manager,Management,Mid (3-5 yrs),Bachelor's,Netherlands,Europe,EUR,Enterprise (10000+),E-Commerce & Retail,Freelance,Remote,181600,15200,9700,206500,3.9,0,Go; LangChain; Docker; Tableau; Power BI,Significant,Male
40,2023,Full Stack Developer,Software Engineering,Mid (3-5 yrs),PhD,United States,North America,USD,Large (1001-10000),Finance & Banking,Full-time,Hybrid,198500,11300,58000,267800,2.8,2,SQL; Go; Kafka,Partial,Male
41,2021,Cybersecurity Analyst,Cybersecurity,Mid (3-5 yrs),Bachelor's,India,Asia,INR,Large (1001-10000),Technology,Full-time,Hybrid,34800,400,0,35200,2.7,3,GCP; Azure; Spark; Kubernetes; Kafka,Partial,Male
42,2023,Software Engineer,Software Engineering,Entry (0-2 yrs),Master's,United States,North America,USD,Small (51-200),Technology,Full-time,Hybrid,99700,8800,27900,136400,3.4,2,Rust; Kafka; Tableau; LangChain; Azure,Significant,Prefer not to say
43,2024,Software Engineer,Software Engineering,Entry (0-2 yrs),Bachelor's,United States,North America,USD,Startup (1-50),Healthcare & Pharma,Full-time,On-site,86400,1700,0,88100,2.5,2,Excel; LangChain; AWS,Experimenting,Male
44,2022,Cybersecurity Analyst,Cybersecurity,Entry (0-2 yrs),Master's,Germany,Europe,EUR,Startup (1-50),Education & Research,Full-time,On-site,39100,3300,10600,53000,2.9,2,Scala; Hugging Face,Partial,Male
45,2025,Data Engineer,Data Engineering,Mid (3-5 yrs),Master's,India,Asia,INR,Large (1001-10000),E-Commerce & Retail,Freelance,Remote,59500,3200,13200,75900,3.8,0,TensorFlow; Tableau; Power BI; R; Kafka,Experimenting,Female
46,2023,Business Intelligence Analyst,Data Science,Entry (0-2 yrs),High School,India,Asia,INR,Small (51-200),Technology,Full-time,Hybrid,11500,600,1300,13400,3.1,2,TensorFlow; Airflow; Docker,None,Male
47,2022,Generative AI Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,India,Asia,INR,Small (51-200),Technology,Full-time,Remote,54500,7100,21200,82800,3.0,4,C++; Hugging Face,Partial,Female
48,2023,Software Engineer,Software Engineering,Mid (3-5 yrs),Bachelor's,Germany,Europe,EUR,Medium (201-1000),Finance & Banking,Full-time,Hybrid,106800,1400,0,108200,3.2,2,Kafka; PyTorch; Power BI; Rust; Python,Experimenting,Prefer not to say
49,2024,AI Product Manager,Management,Entry (0-2 yrs),Master's,India,Asia,INR,Large (1001-10000),Energy & Utilities,Full-time,Hybrid,32900,2200,0,35100,2.7,2,Rust; C++; Tableau; Kubernetes; Excel,Significant,Prefer not to say
50,2023,DevOps Engineer,Software Engineering,Senior (6-10 yrs),Master's,United Kingdom,Europe,GBP,Enterprise (10000+),Finance & Banking,Freelance,Remote,258800,36800,0,295600,3.9,3,Docker; SQL,Partial,Male
51,2025,Frontend Developer,Software Engineering,Senior (6-10 yrs),Master's,Brazil,South America,BRL,Startup (1-50),Media & Entertainment,Full-time,Remote,49900,7100,0,57000,2.7,4,Excel; Docker; LangChain; R; JavaScript,Experimenting,Male
52,2022,Quantitative Analyst,Data Science,Entry (0-2 yrs),Master's,Canada,North America,CAD,Large (1001-10000),Automotive,Full-time,Remote,99400,6200,0,105600,3.6,2,OpenCV; Java; Docker,AI-First,Female
53,2021,Quantitative Analyst,Data Science,Senior (6-10 yrs),Master's,United States,North America,USD,Medium (201-1000),Healthcare & Pharma,Full-time,Remote,289800,73600,95500,458900,4.6,3,SQL; Rust; LangChain,Significant,Male
54,2025,Product Manager (Tech),Management,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),Energy & Utilities,Contract,Hybrid,169400,6300,0,175700,4.0,1,Spark; PyTorch; GCP; LangChain; Hadoop,Partial,Male
55,2021,Quantitative Analyst,Data Science,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Enterprise (10000+),Finance & Banking,Freelance,Remote,264600,4200,0,268800,3.7,1,AWS; R; Scala,Partial,Male
56,2025,Cloud Architect,Software Engineering,Lead (11-15 yrs),PhD,United States,North America,USD,Startup (1-50),Technology,Full-time,On-site,369100,47000,0,416100,2.5,0,PyTorch; Power BI; Airflow; Hadoop,Significant,Female
57,2025,Engineering Manager,Management,Mid (3-5 yrs),PhD,United Kingdom,Europe,GBP,Large (1001-10000),Telecommunications,Full-time,Remote,201600,7400,0,209000,4.6,0,Go; Kafka; SQL; Kubernetes,AI-First,Female
58,2024,Data Engineer,Data Engineering,Senior (6-10 yrs),Master's,Germany,Europe,EUR,Enterprise (10000+),Technology,Full-time,Remote,234000,16600,15900,266500,4.0,1,Tableau; dbt; Hugging Face; C++; SQL,Significant,Male
59,2024,Cybersecurity Analyst,Cybersecurity,Entry (0-2 yrs),Bachelor's,Saudi Arabia,Asia,SAR,Medium (201-1000),Technology,Contract,Remote,89700,6800,0,96500,2.2,2,SQL; Docker; Spark,AI-First,Male
60,2025,Quantitative Analyst,Data Science,Senior (6-10 yrs),Master's,United States,North America,USD,Small (51-200),Finance & Banking,Full-time,Remote,343600,28300,26600,398500,2.8,0,Python; OpenCV; dbt; Hadoop,Experimenting,Male
61,2024,Database Administrator,Data Engineering,Lead (11-15 yrs),PhD,Switzerland,Europe,CHF,Large (1001-10000),Energy & Utilities,Full-time,Hybrid,268400,44700,0,313100,3.4,0,Excel; JavaScript; Power BI,Experimenting,Female
62,2024,Robotics Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,Japan,Asia,JPY,Enterprise (10000+),E-Commerce & Retail,Full-time,Hybrid,141600,24200,0,165800,3.9,2,TensorFlow; PyTorch,Significant,Male
63,2021,Engineering Manager,Management,Mid (3-5 yrs),Bachelor's,Brazil,South America,BRL,Medium (201-1000),Technology,Freelance,On-site,64400,7500,0,71900,2.2,0,Kafka; PyTorch; Hugging Face; Java,Partial,Male
64,2024,Computer Vision Engineer,Machine Learning,Senior (6-10 yrs),Master's,Brazil,South America,BRL,Enterprise (10000+),Government & Defense,Contract,Remote,109600,16500,6000,132100,3.4,0,Docker; Spark,Significant,Female
65,2023,Generative AI Engineer,Machine Learning,Entry (0-2 yrs),PhD,Israel,Asia,ILS,Small (51-200),Technology,Freelance,Hybrid,147600,12000,31900,191500,3.5,1,Excel; OpenCV,Partial,Female
66,2024,Data Engineer,Data Engineering,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Medium (201-1000),Healthcare & Pharma,Full-time,Hybrid,237600,21400,0,259000,2.9,1,Tableau; Kafka; Scala; Kubernetes; Excel,Experimenting,Male
67,2022,Business Intelligence Analyst,Data Science,Mid (3-5 yrs),PhD,United States,North America,USD,Medium (201-1000),Government & Defense,Full-time,Remote,134000,13800,0,147800,3.6,2,R; Hadoop; Rust; JavaScript,AI-First,Non-binary
68,2024,Data Analyst,Data Science,Senior (6-10 yrs),Master's,India,Asia,INR,Large (1001-10000),Technology,Full-time,Remote,39900,5800,0,45700,3.6,2,OpenCV; LangChain,Partial,Male
69,2024,Computer Vision Engineer,Machine Learning,Entry (0-2 yrs),PhD,United Kingdom,Europe,GBP,Enterprise (10000+),Technology,Full-time,Remote,149100,7800,38000,194900,3.8,1,Java; dbt; Python,Experimenting,Male
70,2024,AI Product Manager,Management,Entry (0-2 yrs),Master's,United Kingdom,Europe,GBP,Startup (1-50),Telecommunications,Full-time,Hybrid,93700,2400,0,96100,4.5,1,Docker; Azure,Experimenting,Male
71,2024,Robotics Engineer,Machine Learning,Mid (3-5 yrs),Master's,Canada,North America,CAD,Enterprise (10000+),Technology,Full-time,Remote,181300,13300,0,194600,3.9,0,SQL; PyTorch; Power BI; Scala; Rust,Significant,Male
72,2024,Frontend Developer,Software Engineering,Mid (3-5 yrs),Bachelor's,Poland,Europe,PLN,Medium (201-1000),E-Commerce & Retail,Contract,Hybrid,45700,3900,0,49600,2.9,0,Kubernetes; Docker; Go,Partial,Female
73,2022,Database Administrator,Data Engineering,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Finance & Banking,Full-time,On-site,135300,11400,0,146700,3.5,2,Kubernetes; Java,Significant,Male
74,2021,Machine Learning Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,India,Asia,INR,Medium (201-1000),Technology,Contract,Hybrid,52100,6000,0,58100,3.7,4,TensorFlow; Power BI,Partial,Male
75,2023,AI Research Scientist,Machine Learning,Mid (3-5 yrs),Bachelor's,India,Asia,INR,Startup (1-50),Energy & Utilities,Full-time,Hybrid,32800,900,0,33700,3.6,5,Power BI; dbt,Significant,Male
76,2021,Quantitative Analyst,Data Science,Lead (11-15 yrs),Bachelor's,Netherlands,Europe,EUR,Medium (201-1000),Technology,Full-time,Hybrid,259300,7400,0,266700,2.9,3,SQL; Kafka,Partial,Male
77,2023,MLOps Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,United Kingdom,Europe,GBP,Large (1001-10000),E-Commerce & Retail,Full-time,Remote,187500,17200,0,204700,3.7,3,Rust; Docker,Significant,Male
78,2023,Business Intelligence Analyst,Data Science,Mid (3-5 yrs),Master's,United States,North America,USD,Medium (201-1000),Technology,Full-time,Hybrid,150800,5100,55200,211100,3.7,1,Hadoop; Power BI; R,None,Male
79,2021,AI Research Scientist,Machine Learning,Mid (3-5 yrs),Master's,Netherlands,Europe,EUR,Startup (1-50),Healthcare & Pharma,Full-time,Remote,122800,10800,44600,178200,3.9,5,SQL; Hadoop; Kafka; R,Partial,Male
80,2020,Full Stack Developer,Software Engineering,Senior (6-10 yrs),Bachelor's,India,Asia,INR,Large (1001-10000),Finance & Banking,Full-time,Remote,44400,7800,0,52200,4.2,1,OpenCV; Airflow; Spark; SQL; Kubernetes,Significant,Male
81,2023,Product Manager (Tech),Management,Lead (11-15 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Remote,330700,17000,0,347700,4.5,3,LangChain; Spark; Kafka,AI-First,Female
82,2021,Data Engineer,Data Engineering,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),Telecommunications,Contract,Remote,128300,2800,0,131100,3.7,1,dbt; Tableau; Excel; Power BI; PyTorch,AI-First,Female
83,2021,Data Analyst,Data Science,Senior (6-10 yrs),Bachelor's,Germany,Europe,EUR,Large (1001-10000),E-Commerce & Retail,Full-time,Remote,100900,9500,17400,127800,4.2,0,OpenCV; TensorFlow; SQL; Excel,AI-First,Female
84,2023,Product Manager (Tech),Management,Senior (6-10 yrs),Bachelor's,United Kingdom,Europe,GBP,Enterprise (10000+),Telecommunications,Full-time,On-site,232600,25500,17600,275700,3.1,4,Azure; Scala; R; Docker; Java,Significant,Female
85,2025,Data Analyst,Data Science,Entry (0-2 yrs),Master's,Canada,North America,CAD,Small (51-200),Finance & Banking,Full-time,Remote,59100,3500,4700,67300,4.1,2,Hadoop; Kubernetes; LangChain; PyTorch,Significant,Male
86,2023,Full Stack Developer,Software Engineering,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Freelance,Hybrid,119700,2500,0,122200,3.4,2,SQL; Tableau; dbt; Scala,AI-First,Male
87,2024,Robotics Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,United Kingdom,Europe,GBP,Enterprise (10000+),Finance & Banking,Contract,Hybrid,208100,33900,0,242000,3.5,1,Excel; dbt,Partial,Male
88,2022,MLOps Engineer,Machine Learning,Mid (3-5 yrs),PhD,Israel,Asia,ILS,Large (1001-10000),Technology,Full-time,Remote,206900,13000,0,219900,3.2,3,dbt; PyTorch,AI-First,Male
89,2023,AI Research Scientist,Machine Learning,Senior (6-10 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Automotive,Full-time,Remote,311400,32200,0,343600,3.0,5,Docker; Power BI; TensorFlow,Significant,Female
90,2021,Computer Vision Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,United Kingdom,Europe,GBP,Medium (201-1000),Energy & Utilities,Part-time,On-site,80600,8800,0,89400,3.2,0,LangChain; Hadoop; Azure; Kubernetes,AI-First,Female
91,2024,AI Research Scientist,Machine Learning,Entry (0-2 yrs),PhD,Brazil,South America,BRL,Medium (201-1000),Finance & Banking,Full-time,Hybrid,58000,3000,13500,74500,4.1,1,LangChain; C++,Experimenting,Female
92,2021,DevOps Engineer,Software Engineering,Lead (11-15 yrs),PhD,United States,North America,USD,Enterprise (10000+),Media & Entertainment,Full-time,Remote,343000,50800,0,393800,4.9,5,SQL; Spark; Go; Python; PyTorch,AI-First,Female
93,2024,AI Research Scientist,Machine Learning,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Enterprise (10000+),Consulting,Full-time,Hybrid,344400,6100,50700,401200,3.4,1,Python; Rust,Experimenting,Male
94,2025,Prompt Engineer,Machine Learning,Entry (0-2 yrs),Bachelor's,Canada,North America,CAD,Small (51-200),Finance & Banking,Contract,Remote,73700,1400,28800,103900,3.5,2,OpenCV; AWS,Significant,Male
95,2023,Computer Vision Engineer,Machine Learning,Mid (3-5 yrs),Master's,France,Europe,EUR,Startup (1-50),Finance & Banking,Full-time,Remote,136600,17100,21600,175300,4.0,0,SQL; Azure; GCP; Hugging Face,AI-First,Male
96,2022,Cybersecurity Analyst,Cybersecurity,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Medium (201-1000),Telecommunications,Full-time,Remote,133200,0,0,133200,4.8,5,LangChain; Tableau,Significant,Male
97,2020,Engineering Manager,Management,Senior (6-10 yrs),PhD,United Kingdom,Europe,GBP,Enterprise (10000+),Consulting,Full-time,Hybrid,301400,26700,100600,428700,2.6,8,R; TensorFlow; JavaScript; Hugging Face; PyTorch,AI-First,Male
98,2025,Engineering Manager,Management,Entry (0-2 yrs),PhD,Germany,Europe,EUR,Large (1001-10000),Technology,Full-time,Remote,185900,11300,39800,237000,3.9,1,Kubernetes; Hadoop; Kafka; Docker,AI-First,Male
99,2025,Cybersecurity Analyst,Cybersecurity,Mid (3-5 yrs),Bachelor's,Australia,Oceania,AUD,Large (1001-10000),Technology,Full-time,Remote,134100,6400,0,140500,3.9,5,GCP; TensorFlow; PyTorch,Experimenting,Male
100,2022,Cloud Architect,Software Engineering,Mid (3-5 yrs),Bachelor's,India,Asia,INR,Large (1001-10000),Finance & Banking,Full-time,On-site,53000,2700,0,55700,3.0,3,Excel; Hugging Face; R; SQL,Significant,Male
101,2023,Database Administrator,Data Engineering,Executive (16+ yrs),Master's,Australia,Oceania,AUD,Startup (1-50),E-Commerce & Retail,Full-time,Remote,166800,6000,0,172800,3.0,2,Spark; Hadoop; Tableau; R,Significant,Female
102,2025,Backend Developer,Software Engineering,Entry (0-2 yrs),Bachelor's,Germany,Europe,EUR,Startup (1-50),Finance & Banking,Part-time,Remote,41000,0,3700,44700,4.2,2,AWS; Azure; Hadoop,AI-First,Male
103,2024,Quantitative Analyst,Data Science,Executive (16+ yrs),Master's,Germany,Europe,EUR,Small (51-200),Education & Research,Contract,Remote,321500,33600,74600,429700,4.0,2,SQL; Hugging Face; dbt; PyTorch; Spark,Significant,Male
104,2022,Software Engineer,Software Engineering,Senior (6-10 yrs),Master's,Brazil,South America,BRL,Enterprise (10000+),E-Commerce & Retail,Full-time,Hybrid,79300,7100,7700,94100,3.9,0,Go; Hugging Face; AWS,None,Male
105,2022,Engineering Manager,Management,Lead (11-15 yrs),Master's,United States,North America,USD,Startup (1-50),Finance & Banking,Full-time,Remote,392100,60700,116200,569000,3.6,0,Scala; PyTorch,Significant,Male
106,2024,Backend Developer,Software Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),E-Commerce & Retail,Full-time,Remote,214700,30600,0,245300,2.8,1,Azure; Scala,Partial,Male
107,2025,Computer Vision Engineer,Machine Learning,Lead (11-15 yrs),Bachelor's,United Kingdom,Europe,GBP,Enterprise (10000+),Energy & Utilities,Full-time,Hybrid,310100,29300,53300,392700,4.6,1,Power BI; GCP; SQL; Azure,Significant,Male
108,2023,MLOps Engineer,Machine Learning,Senior (6-10 yrs),Master's,India,Asia,INR,Large (1001-10000),Energy & Utilities,Full-time,On-site,58900,8200,22500,89600,3.3,0,Excel; JavaScript; LangChain; Tableau,Partial,Female
109,2023,Generative AI Engineer,Machine Learning,Senior (6-10 yrs),Master's,Canada,North America,CAD,Medium (201-1000),Technology,Full-time,Remote,237400,31300,0,268700,3.7,8,Docker; Kubernetes; AWS,Partial,Male
110,2021,Quantitative Analyst,Data Science,Executive (16+ yrs),Master's,United Kingdom,Europe,GBP,Medium (201-1000),Finance & Banking,Full-time,Remote,309400,5400,84100,398900,3.8,0,Rust; Docker,Experimenting,Male
111,2022,Frontend Developer,Software Engineering,Mid (3-5 yrs),Master's,Brazil,South America,BRL,Enterprise (10000+),Education & Research,Full-time,On-site,36300,500,4100,40900,3.4,1,AWS; Azure; Docker,Partial,Male
112,2020,Frontend Developer,Software Engineering,Executive (16+ yrs),Bachelor's,Canada,North America,CAD,Small (51-200),Finance & Banking,Freelance,Hybrid,185100,11200,0,196300,4.0,0,TensorFlow; GCP; Python; Java; Kubernetes,Experimenting,Male
113,2022,Frontend Developer,Software Engineering,Mid (3-5 yrs),Master's,United Kingdom,Europe,GBP,Large (1001-10000),Technology,Full-time,Remote,115700,3200,0,118900,2.8,1,OpenCV; Power BI; dbt; Java,Experimenting,Male
114,2022,Full Stack Developer,Software Engineering,Mid (3-5 yrs),Master's,India,Asia,INR,Startup (1-50),E-Commerce & Retail,Full-time,Remote,24600,3200,0,27800,3.4,0,Azure; Docker; Scala; Power BI; PyTorch,AI-First,Male
115,2022,Prompt Engineer,Machine Learning,Mid (3-5 yrs),Master's,France,Europe,EUR,Medium (201-1000),Energy & Utilities,Full-time,Hybrid,106900,10500,0,117400,4.0,3,PyTorch; dbt; Java; Kubernetes,Significant,Female
116,2024,Quantitative Analyst,Data Science,Senior (6-10 yrs),PhD,India,Asia,INR,Small (51-200),Consulting,Full-time,Hybrid,67900,5300,12200,85400,3.0,1,C++; Azure; Excel; Kafka; Power BI,Significant,Male
117,2024,Computer Vision Engineer,Machine Learning,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Startup (1-50),Technology,Full-time,Remote,234800,36300,49800,320900,4.4,5,Kafka; R; Airflow; Scala; Azure,Experimenting,Male
118,2024,Product Manager (Tech),Management,Executive (16+ yrs),Master's,United Kingdom,Europe,GBP,Medium (201-1000),Healthcare & Pharma,Contract,Hybrid,310900,69400,0,380300,4.3,0,Power BI; AWS; JavaScript; Go,Experimenting,Male
119,2025,Software Engineer,Software Engineering,Senior (6-10 yrs),Master's,Netherlands,Europe,EUR,Large (1001-10000),Healthcare & Pharma,Freelance,Hybrid,258400,400,0,258800,3.2,1,Java; Tableau; dbt; GCP,Partial,Prefer not to say
